epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.0292,0.03238,56.0137,0.01847,0.00149,0.27002,0.00083,0.00024,2.47242,20.5009,2.32935,0.00054928,0.00054928,0.00054928
2,165.648,0.12044,40.5652,0.08038,0.00115,0.26954,0.00165,0.00033,2.6288,15.5152,2.22236,0.000740314,0.000740314,0.000740314
3,230.922,0.10972,34.9339,0.07314,0.0011,0.25579,0.00135,0.00025,2.77807,23.8789,2.76382,0.000564608,0.000564608,0.000564608
